STATION_NAME,DATE,PRECIP,TEMP_AVG,TEMP_MAX,TEMP_MIN,AVG_WIND,WDF2 (Direction of fastest 2 min wind - degrees),WDF5 (Direction of fastest 5 second wind - degrees),WSF2 (Fastest 2 min wind speed),WSF5 (Fastests 5 second wind speed),FOG,HAIL,HEAVY FOG,ICE,SMOKE/HAZE,THUNDER
MINNEAPOLIS ST PAUL INTERNATIONAL AIRPORT MN US,20160822,0,71,83,59,12.5,190,170,25.9,35.1,0,0,0,0,0,0
MINNEAPOLIS ST PAUL INTERNATIONAL AIRPORT MN US,20160823,1.01,76,84,67,13.4,170,160,23,29.1,1,0,0,0,1,1
MINNEAPOLIS ST PAUL INTERNATIONAL AIRPORT MN US,20160824,0.07,72,82,66,7.2,280,270,19.9,23.9,1,0,0,0,0,0
MINNEAPOLIS ST PAUL INTERNATIONAL AIRPORT MN US,20160825,0,69,74,61,9.2,280,270,19.9,25.9,0,0,0,0,1,0
MINNEAPOLIS ST PAUL INTERNATIONAL AIRPORT MN US,20160826,0,65,72,57,3.6,170,200,8.9,12.1,1,0,0,0,0,0
MINNEAPOLIS ST PAUL INTERNATIONAL AIRPORT MN US,20160827,0.01,65,69,63,5.6,130,130,16.1,19,1,0,0,0,1,0
MINNEAPOLIS ST PAUL INTERNATIONAL AIRPORT MN US,20160828,0,70,85,61,7.8,170,170,16.1,21,1,0,1,0,1,0
MINNEAPOLIS ST PAUL INTERNATIONAL AIRPORT MN US,20160829,1.27,77,86,67,8.9,360,30,17,21.9,1,0,0,0,1,1
MINNEAPOLIS ST PAUL INTERNATIONAL AIRPORT MN US,20160830,0.34,74,81,64,7.2,160,160,25.9,32,1,0,0,0,0,1
MINNEAPOLIS ST PAUL INTERNATIONAL AIRPORT MN US,20160831,0,69,80,58,5.1,360,10,14.1,21.9,1,0,0,0,0,0
MINNEAPOLIS ST PAUL INTERNATIONAL AIRPORT MN US,20160901,0,68,77,60,6.7,90,90,14.1,19.9,0,0,0,0,0,0
MINNEAPOLIS ST PAUL INTERNATIONAL AIRPORT MN US,20160902,0,66,76,57,8.7,170,200,17,25.9,0,0,0,0,0,0
MINNEAPOLIS ST PAUL INTERNATIONAL AIRPORT MN US,20160903,0,66,76,59,10.7,170,170,21,25.1,0,0,0,0,0,0
MINNEAPOLIS ST PAUL INTERNATIONAL AIRPORT MN US,20160904,0.02,69,79,60,13,170,180,23.9,31.1,0,0,0,0,0,1
MINNEAPOLIS ST PAUL INTERNATIONAL AIRPORT MN US,20160905,0.51,72,81,67,9.8,170,160,23.9,32,1,0,0,0,0,1
MINNEAPOLIS ST PAUL INTERNATIONAL AIRPORT MN US,20160906,0.88,76,81,71,4.9,290,220,23,31.1,1,0,0,0,1,1
MINNEAPOLIS ST PAUL INTERNATIONAL AIRPORT MN US,20160907,0.02,72,77,68,6.3,120,20,13,16.1,1,0,0,0,0,0
MINNEAPOLIS ST PAUL INTERNATIONAL AIRPORT MN US,20160908,0,71,78,62,8.1,310,310,15,19.9,0,0,0,0,0,1
MINNEAPOLIS ST PAUL INTERNATIONAL AIRPORT MN US,20160909,0.23,68,74,62,7.6,130,140,18.1,23,1,0,0,0,0,1
MINNEAPOLIS ST PAUL INTERNATIONAL AIRPORT MN US,20160910,0,65,72,57,10.5,310,300,23.9,29.1,0,0,0,0,0,0
MINNEAPOLIS ST PAUL INTERNATIONAL AIRPORT MN US,20160911,0,67,80,57,10.7,200,200,23.9,36.9,0,0,0,0,0,0
MINNEAPOLIS ST PAUL INTERNATIONAL AIRPORT MN US,20160912,0,71,81,62,10.7,360,190,19.9,23.9,0,0,0,0,0,1
MINNEAPOLIS ST PAUL INTERNATIONAL AIRPORT MN US,20160913,0,64,66,56,10.3,360,350,21,23.9,0,0,0,0,0,0
MINNEAPOLIS ST PAUL INTERNATIONAL AIRPORT MN US,20160914,0,58,70,47,5.1,10,10,13,14.1,0,0,0,0,0,0
MINNEAPOLIS ST PAUL INTERNATIONAL AIRPORT MN US,20160915,0.85,64,76,57,9.2,120,110,28,32,1,0,0,0,1,1
MINNEAPOLIS ST PAUL INTERNATIONAL AIRPORT MN US,20160916,0.06,67,76,63,7.4,210,220,16.1,23,0,0,0,0,1,1
MINNEAPOLIS ST PAUL INTERNATIONAL AIRPORT MN US,20160917,0,66,72,59,6.9,270,300,16.1,21.9,0,0,0,0,0,0
MINNEAPOLIS ST PAUL INTERNATIONAL AIRPORT MN US,20160918,0,67,84,54,8.3,200,200,19.9,27.1,0,0,0,0,0,0
MINNEAPOLIS ST PAUL INTERNATIONAL AIRPORT MN US,20160919,0.01,72,79,61,5.8,330,230,15,19.9,0,0,0,0,0,0
MINNEAPOLIS ST PAUL INTERNATIONAL AIRPORT MN US,20160920,0.03,67,79,57,5.8,120,110,16.1,19.9,0,0,0,0,0,1
MINNEAPOLIS ST PAUL INTERNATIONAL AIRPORT MN US,20160921,1.88,69,73,65,12.5,20,30,36,46.1,1,1,0,0,1,1
MINNEAPOLIS ST PAUL INTERNATIONAL AIRPORT MN US,20160922,0.08,67,73,61,10.1,150,120,21.9,28,1,0,0,0,0,0
MINNEAPOLIS ST PAUL INTERNATIONAL AIRPORT MN US,20160923,0.63,64,71,60,11.6,110,110,18.1,23.9,1,0,0,0,0,1
MINNEAPOLIS ST PAUL INTERNATIONAL AIRPORT MN US,20160924,0,66,73,63,14.1,110,140,23,29.1,1,0,0,0,0,0
