Terminal,Number_docks,Map Frame Label,Location,Latitude,Longitude,Zip Code,City,Neighborhood,CPED Sector,Council Ward,Location Justification (network = SP or MN)
30014,15,22nd Ave S & Franklin Ave,2200 Franklin Ave,44.96293,-93.241042,55406,Minneapolis,Seward,Minn-South,2,Equity
30015,20,Washington & Cedar,1500 Washington Avenue S,44.97344,-93.24748,55454,Minneapolis,Cedar-Riverside,Minn-East,2,Attraction
30016,15,Walker Art Center,1750 Hennepin Avenue,44.9671037,-93.2890749,55403,Minneapolis,Lowry Hill,Minn-Southwest,7,Attraction
30017,19,Lyndale Ave S & 22nd Street,2250 Lyndale Ave S,44.960744,-93.28815,55405,Minneapolis,Whittier,Minn-Southwest,10,Minneapolis
30018,17,MCAD,2501 Stevens Avenue S,44.957214,-93.274981,55404,Minneapolis,Whittier,Minn-Southwest,6,Minneapolis
30019,29,Social Sciences,269 19th Ave S,44.971359,-93.243754,55455,Minneapolis,University of MN,Minn-East,2,Minneapolis
30020,19,YWCA Uptown,2850 Hennepin Ave,44.95131,-93.29853,55408,Minneapolis,Whittier,Minn-Southwest,10,Minneapolis
30021,19,2nd Ave N & Washington Ave N,190 Washington Ave. N,44.98383,-93.27099,55401,Minneapolis,North Loop,Minn-downtown,7,Minneapolis
30022,15,26th Street & Lyndale,2601 Lyndale Ave. S,44.95548,-93.28775,55405,Minneapolis,Whittier,Minn-Southwest,10,Minneapolis
30023,15,Chicago & 27th Street,2705 Chicago Ave. S,44.95355,-93.26259,55407,Minneapolis,Midtown Phillips,Minn-South,9,Equity
30024,35,Coffman Union,300 Washington Ave SE,44.973378,-93.234762,55455,Minneapolis,University of MN,Minn-East,2,Minneapolis
30025,25,Williamson Hall,331 Pillsbury Drive SE,44.977406,-93.234911,55455,Minneapolis,University of MN,Minn-East,2,Minneapolis
30026,25,Mayo Memorial Building,400 Delaware Street SE,44.97209,-93.23206,55455,Minneapolis,University of MN,Minn-East,2,Minneapolis
30027,19,4th Street S & 19th Ave,1905 South 4th Street,44.97003,-93.24519,55454,Minneapolis,University of MN,Minn-East,2,Minneapolis
30028,19,Washington & Marquette,100 Washington Ave. S,44.9808736,-93.2669252,55401,Minneapolis,Downtown West,Minn-Downtown,7,Minneapolis
30029,33,Hennepin County Government Center,505 3rd Ave. S,44.976602,-93.266701,55415,Minneapolis,Downtown West,Minn-Downtown,7,Minneapolis
30030,31,South 2nd Street & 3rd Ave S,300 South 2nd Street,44.9809267,-93.2634544,55401,Minneapolis,Downtown West,Minn-Downtown,7,Minneapolis
30031,19,23rd Ave SE & 6th Street SE,600 23rd Ave SE,44.977028,-93.221639,55414,Minneapolis,University of MN,Minn-East,2,Minneapolis
30032,15,4th Street & 17th Ave SE,1690 4th Street SE,44.97913,-93.23189,55455,Minneapolis,University of MN,Minn-East,2,Minneapolis
30033,15,Franklin & 11th Ave,1085 East Franklin Ave.,44.96251,-93.2583,55404,Minneapolis,Ventura Village,Minn-South,6,Equity
30034,23,Oak Street Ramp,399 Oak Street SE,44.97202,-93.22697,55414,Minneapolis,Prospect Park/East River Road,Minn-East,2,Minneapolis
30035,15,Loring Park,1501 Harmon Place,44.9715,-93.284927,55403,Minneapolis,Loring Park,Minn-Downtown,7,Attraction
30036,0,Downtown Library,345 Nicollet Mall,44.980199,-93.269217,55401,Minneapolis,Downtown West,Minn-Downtown,7,Minneapolis
30037,15,Currie Park,600 15th Ave. S,44.969225,-93.251136,55454,Minneapolis,Cedar-Riverside,Minn-East,2,Equity
30038,15,E Franklin Ave & Bloomington Ave S,1530 E Franklin,44.96285,-93.252269,55404,Minneapolis,Ventura Village,Minn-South,6,Equity
30039,11,10th Street & Nicollet Mall,75 S 10th Street,44.973839,-93.274544,55403,Minneapolis,Downtown West,Minn-Downtown,7,Minneapolis
30040,19,11th Street & Marquette,1090 Marquette Ave.,44.97265,-93.27405,55403,Minneapolis,Downtown West,Minn-Downtown,7,Minneapolis
30041,15,Franklin & Portland,600 East Franklin Ave.,44.962846,-93.267526,55404,Minneapolis,Phillips West,Minn-South,6,Equity
30042,23,IDS Center,80 South 8th Street,44.975641,-93.272185,55402,Minneapolis,Downtown West,Minn-Downtown,7,Minneapolis
30043,19,Lake Street & Humboldt,1400 West Lake Street,44.94865,-93.30077,55408,Minneapolis,East Isles,Minn-Southwest,10,Attraction
30044,15,26th Street & Hennepin,2600 Hennepin Ave.,44.9554734,-93.297143,55408,Minneapolis,East Isles,Minn-Southwest,10,Attraction
30045,19,Franklin & 28th Ave,2823 East Franklin Ave.,44.962701,-93.230893,55406,Minneapolis,Seward,Minn-South,2,Minneapolis
30046,19,Washington Ave S & 10th Ave S,920 Washington Ave.,44.97654,-93.25535,55415,Minneapolis,Downtown East,Minn-downtown,7,Minneapolis
30047,19,University & Bank Street SE,280 Bank Street SE,44.98717,-93.25576,55414,Minneapolis,Nicollet Island/East Bank,Minn-East,3,Attraction
30048,15,Dupont Ave & 22nd Street,2119 Dupont Ave S.,44.96146,-93.29303,55405,Minneapolis,Lowry Hill East,Minn-Southwest,10,Minneapolis
